green,red,IR,acc_x,acc_y,acc_z,sample_index
106838,207655,269965,-0.04307080679999999,3.8261233374,9.0999043478,286
105417,207439,269788,-0.2321037922,3.8668013215999997,9.0999043478,287
104438,207276,269577,-0.1363908882,3.7818561193,9.0293160811,288
104131,207143,269571,-0.19980068709999999,3.9565321691,9.1202433399,289
104152,207140,269541,-0.2081755662,3.9852460403000003,9.1872423727,290
104485,207106,269468,-0.09690931529999999,3.8811582571999996,9.2315095908,291
104811,207123,269471,-0.0346959277,3.9062828945,9.080761767,292
105219,207186,269501,-0.143569356,3.8524443859999997,9.0879402348,293
105516,207204,269559,-0.20578274359999998,3.8943187815,9.1669033806,294
105762,207220,269526,-0.2297109696,3.8979080154,9.1357966868,295
106067,207248,269524,-0.16151552549999998,3.9158541848999997,9.220741889100001,296
106408,207264,269551,-0.20458633229999998,3.8955151927999996,9.1800639049,297
106818,207266,269615,-0.21296121140000002,3.8117664018,9.080761767,298
107290,207332,269650,-0.044267218100000005,3.8404802730000003,9.0257268472,299
107748,207377,269586,-0.08374879099999999,3.8117664018,9.165706969299999,300
108339,207414,269707,-0.1292124204,3.7782668854000003,9.108279226899999,301
108819,207409,269737,-0.0921236701,3.8321053939,9.068797654,302
109330,207556,269771,-0.2285145583,3.8979080154,9.064012008799999,303
109845,207583,269822,-0.20578274359999998,3.8979080154,9.1992064857,304
110373,207667,269808,-0.0681954441,3.8380874503999998,9.1118684608,305
110758,207863,270019,-0.0346959277,3.9170505962,9.0735832992,306
110237,207929,270075,-0.1148554848,3.9086757171,9.1429751546,307
108644,207866,270073,-0.1459621786,3.7830525306,9.175278259699999,308
106710,207595,269924,-0.23688943739999999,3.8237305148,9.1573320902,309
105432,207360,269765,-0.21415762270000002,3.8943187815,9.1262253964,310
104617,207231,269667,-0.0011964113,3.888336725,9.140582332,311
104252,207143,269559,-0.0705882667,3.8368910391,9.0711904766,312
104363,207119,269497,-0.24167508259999998,3.8297125713,9.1740818484,313
104715,207080,269489,-0.10289137179999999,3.7782668854000003,9.0999043478,314
105122,207100,269465,-0.1172483074,3.8931223702,9.104689993,315
105353,207134,269487,-0.12442677519999999,3.9014972492999997,9.1262253964,316
105720,207111,269523,-0.24287149389999999,3.8823546685,9.09272588,317
105996,207183,269551,-0.1698904046,3.816552047,9.104689993,318
106293,207220,269534,-0.1459621786,3.8500515634,9.0999043478,319
106667,207244,269557,-0.0669990328,3.8739797894,9.104689993,320
107111,207240,269613,-0.2321037922,3.9110685397,9.0783689444,321
107571,207357,269615,-0.1459621786,3.8847474911,9.0472622506,322
108085,207396,269629,-0.11964113,3.8979080154,9.0855474122,323
108601,207406,269659,-0.0370887503,3.9613178143,9.0879402348,324
109116,207424,269763,-0.0646062102,3.8620156764,9.1274218077,325
109605,207516,269754,-0.2847458894,3.816552047,9.1262253964,326
110116,207579,269763,-0.06340979890000001,3.9696926934,9.104689993,327
110583,207702,269960,-0.0681954441,3.7734812402,9.1262253964,328
110395,207862,270070,-0.0801595571,3.8835510798,9.0735832992,329
108970,207770,270046,-0.24167508259999998,3.9158541848999997,9.0855474122,330
107114,207569,269924,-0.24765713909999998,3.9469608787,9.0999043478,331
105671,207371,269793,-0.0251246373,3.8512479747,9.153742856300001,332
104765,207134,269675,-0.0825523797,3.8333018051999996,9.0221376133,333
104409,207084,269545,-0.1471585899,3.9206398301,9.1477607998,334
104458,207027,269458,-0.1112662509,3.8560336199000003,9.1357966868,335
104811,207034,269436,-0.1100698396,3.8524443859999997,9.109475638200001,336
105261,207093,269505,-0.020338992099999998,3.8787654346,9.1429751546,337
105673,207084,269560,-0.2105683888,3.8620156764,9.178867493599999,338
106020,207173,269571,-0.10169496049999999,4.103690759,9.176474671,339
106340,207190,269610,-0.08374879099999999,3.9086757171,9.068797654,340
106676,207249,269587,-0.0801595571,3.9421752335,9.1142612834,341
107088,207264,269685,0.0047856452,3.82851616,9.0317089037,342
